Company,Title,Responsibilities,Requirements,Seniority,Employment_Type,Category,Address
,Junior Data Scientist ,"Roles & ResponsibilitiesQuadrant is a location data and technology company that helps data professionals obtain and utilise high-quality authentic mobile location and point-of-interest data. Quadrant’s mission is to bring trust and visibility into the data space. While data has the potential to greatly improve businesses and products, volume alone is not enough. Quadrant uses blockchain solution to move the industry forward and enable big data users to solve big problems.
Job Brief
As part of Quadrant’s Data Science team, you will be provided ample opportunities to learn and work with mobile location data. You will be doing analysis on location data and propose recommendations on real world problems. You will use Python, Tableau, AWS tools including Athena to crunch big data and extract insights. The more curious you are, the more you love to take challenges, the more you will learn with us.
All this data must come from somewhere and go somewhere, right? In this role, you will also be exposed to how a data transaction platform operates. You’ll be working closely with all facets of the company and learning about the overall data economy with us.
Requirements and Qualifications

3-4 years of work experience preferably in the data analytics, consulting or data science.
Proficient computer skills and flexible in coding with a good knowledge in Python with exposure to machine learning and SQL.
Optional Knowledge in GIS, big data frameworks like PySpark, Apache Spark framework or exposure to AWS services is also a plus.
Creative data visualization, data extrapolation and story-telling skills.
Excellent reporting and verbal communication skills.
Passionate to learn new technologies and develop creative ideas.
Self-directed and able to work without supervision.

Duties and Responsibilities

The intern will work with the core team to learn technologies including AWS Athena that are used to handle big data.
The intern will be provided with business questions and location data to perform data cleaning, location analysis/visualization and report in detail to the core team. Good extrapolation and story-telling skills is expected.
The intern will analyze location data using AWS Athena and provide reports on data quality.
The intern will also work closely with the marketing and sales team, get real world problems, perform analysis and provide recommendations to solve them.
Depending on the capability, the intern might build machine learning algorithms on location data and make predictions.
Brainstorming with the core team on how to provide real-time data services to the clients.
Periodic reporting or presentation to the core team on learning points while performing real-time analytics.
Develop detailed project plans, timelines, and work flows to ensure timely completion.
Take ownership and perform ad-hoc analysis tasks assigned.

Requirements

Proven experience as a Data Scientist or Data Analyst
Experience in data mining
Understanding of machine-learning and operations research
Knowledge of R, SQL and Python; familiarity with Scala, Java or C++ is an asset
Experience using business intelligence tools (e.g. Tableau) and data frameworks (e.g. Hadoop)
Analytical mind and business acumen
Strong math skills (e.g. statistics, algebra)
Problem-solving aptitude
Excellent communication and presentation skills
BSc/BA in Computer Science, Engineering or relevant field; graduate degree in Data Science or other quantitative field is preferred
",,Junior Executive,Permanent,Engineering,"NORTH BRIDGE CENTRE, 420 NORTH BRIDGE ROAD 188727"
,Junior Data Scientist ,"Roles & ResponsibilitiesQuadrant is a location data and technology company that helps data professionals obtain and utilise high-quality authentic mobile location and point-of-interest data. Quadrant’s mission is to bring trust and visibility into the data space. While data has the potential to greatly improve businesses and products, volume alone is not enough. Quadrant uses blockchain solution to move the industry forward and enable big data users to solve big problems.
Job Brief
As part of Quadrant’s Data Science team, you will be provided ample opportunities to learn and work with mobile location data. You will be doing analysis on location data and propose recommendations on real world problems. You will use Python, Tableau, AWS tools including Athena to crunch big data and extract insights. The more curious you are, the more you love to take challenges, the more you will learn with us.
All this data must come from somewhere and go somewhere, right? In this role, you will also be exposed to how a data transaction platform operates. You’ll be working closely with all facets of the company and learning about the overall data economy with us.
Requirements and Qualifications

3-4 years of work experience preferably in the data analytics, consulting or data science.
Proficient computer skills and flexible in coding with a good knowledge in Python with exposure to machine learning and SQL.
Optional Knowledge in GIS, big data frameworks like PySpark, Apache Spark framework or exposure to AWS services is also a plus.
Creative data visualization, data extrapolation and story-telling skills.
Excellent reporting and verbal communication skills.
Passionate to learn new technologies and develop creative ideas.
Self-directed and able to work without supervision.

Duties and Responsibilities

The intern will work with the core team to learn technologies including AWS Athena that are used to handle big data.
The intern will be provided with business questions and location data to perform data cleaning, location analysis/visualization and report in detail to the core team. Good extrapolation and story-telling skills is expected.
The intern will analyze location data using AWS Athena and provide reports on data quality.
The intern will also work closely with the marketing and sales team, get real world problems, perform analysis and provide recommendations to solve them.
Depending on the capability, the intern might build machine learning algorithms on location data and make predictions.
Brainstorming with the core team on how to provide real-time data services to the clients.
Periodic reporting or presentation to the core team on learning points while performing real-time analytics.
Develop detailed project plans, timelines, and work flows to ensure timely completion.
Take ownership and perform ad-hoc analysis tasks assigned.

Requirements

Proven experience as a Data Scientist or Data Analyst
Experience in data mining
Understanding of machine-learning and operations research
Knowledge of R, SQL and Python; familiarity with Scala, Java or C++ is an asset
Experience using business intelligence tools (e.g. Tableau) and data frameworks (e.g. Hadoop)
Analytical mind and business acumen
Strong math skills (e.g. statistics, algebra)
Problem-solving aptitude
Excellent communication and presentation skills
BSc/BA in Computer Science, Engineering or relevant field; graduate degree in Data Science or other quantitative field is preferred
",,Junior Executive,Permanent,Engineering,"NORTH BRIDGE CENTRE, 420 NORTH BRIDGE ROAD 188727"
,Data Scientist,"Roles & ResponsibilitiesSingapore's No 1 fastest-growing company in 2021 is looking for an experienced data scientist to start and lead our data science efforts. Do you love sifting through data troves to find gems to analyse? Read on! We’re looking for a data scientist to help us to dice and mince the big data into trends and analytics. This is a hands-on role, but you’ll have full autonomy in choosing the toolkit and approach you want to apply to achieve a data objective. You will have ownership over important project areas that include defining the roadmap of data science. You will work with our structured and unstructured data to find a pattern/trend of how our users are using the product and present these insight reports to the business stakeholders. You have a sharp mind and hands-on approach when it comes to tackling technical challenges.
What you will be doing:

Exploring and visualizing large datasets to drive insights
Fluid at extracting and transforming data from systems using tools
Fluid at practical data mining techniques (pattern detection, predictive modeling, anomaly detection, and optimization) to identify areas of improvement for business/product
Identify and highlight areas of opportunities to help business/product owners optimize existing or new business opportunities/processes
Applying machine learning techniques for a variety of modeling and relevance problems
Designing and implementing metrics that help teams focus on what to optimize for
Assist with developing strategies and managing operational metric for various projects
Manage, hiring and mentor your fellow team members

What you will need:

Master or Ph.D. in Computer Science, Statistics, Industrial Engineering, Mathematics, Economics or quantitative discipline
At least 5 years of hands-on experience in a Data Science role with exposure and proficiency in quantitative and statistical analysis, predictive analytics, multivariate testing, and algorithm-optimization for machine learning. Commercial experience are highly desirable.
Strong knowledge in big data ETL processes, data, and data exploration algorithms
Strong working knowledge of data science algorithms including decision trees, probability networks, association rules, clustering, regression, and neural networks
Fluid in programming skills (MySQL, SQL, Python, R or similar)
Fluid in a variety of visualization tools
Broad-minded with attention to detail and strong business acumens and insights
Excellent communication skills (oral, written, and presentation skills) to work with various stakeholders (technical and non-technical) including presentation of insights reports to business/product owners
Experience working with a product-based organization, e-commerce, automotive is advantageous
Last but not least, you love cars and maybe even more than us!
",,Senior Executive,Permanent,"Engineering, Sciences / Laboratory / R&D","MIDVIEW CITY, 26 SIN MING LANE 573971"
,"Senior Associate, Senior Data Scientist, Analytics Centre Of Excellence, Transformation Group (Wd37180)","Roles & ResponsibilitiesBusiness Function
Here at the DBS Transformation Group, we focus on nurturing the culture of the “World’s Best Digital Bank” (Euromoney, 2016 & 2018) and Best Bank in the World (Euromoney 2019). Our approach is a combination of both science and art; we immerse our stakeholders in the world of design thinking and experimentation, drive rigorous creativity along our pipeline, and build connections between corporate entrepreneurs and start-ups. We are a cross-disciplinary team focused on the invention of solutions that will radically improve the way people live, work and play. We are passionate and committed to make banking joyful (while having lots of fun)!
Responsibilities

The data scientist in Analytics Centre of Excellence (ACOE) will have opportunities to work on huge varieties of problems across sales and marketing, customer management, revenue optimization, risk prevention, operation efficiency, network monitoring, AML and many more other areas.
The data scientist will work in analytics project team to identify and develop the analytic solution for business problems, and will work with the team to develop ML toolkits for data scientists across the enterprise.
Work with business and tech to develop end-to-end advanced analytic solution, from problem formulation, data sourcing to develop and deploying the solution into production.
Work with tech to continue improving the enterprise analytic platform, tooling and reusable assets.
Work with analytic community to continue develop advanced analytic capabilities, adoption of best-in-class techniques and practices.

Requirements

Degree with strong focus in machine learning, data mining or statistical/mathematical modellings with deep theoretical knowledge with machine learning and statistical modelling.
3 to 5+ years relevant working experience.
Fluent in Python and Pyspark.
Familiar with analytics and machine learning platforms and how it integrates with upstream and downstream data and production systems.
Experience of end-to-end data science project covering problem formulation, developing training pipeline and deploying solution to production.

Apply Now
We offer a competitive salary and benefits package and the professional advantages of a dynamic environment that supports your development and recognises your achievements",,Senior Executive,Permanent,"Banking and Finance, Information Technology",Islandwide
,"Avp, Senior Data Scientist, Analytics Centre Of Excellence, Transformation Group (Wd37180)","Roles & ResponsibilitiesBusiness Function
Here at the DBS Transformation Group, we focus on nurturing the culture of the “World’s Best Digital Bank” (Euromoney, 2016 & 2018) and Best Bank in the World (Euromoney 2019). Our approach is a combination of both science and art; we immerse our stakeholders in the world of design thinking and experimentation, drive rigorous creativity along our pipeline, and build connections between corporate entrepreneurs and start-ups. We are a cross-disciplinary team focused on the invention of solutions that will radically improve the way people live, work and play. We are passionate and committed to make banking joyful (while having lots of fun)!
Responsibilities

The data scientist in Analytics Centre of Excellence (ACOE) will have opportunities to work on huge varieties of problems across sales and marketing, customer management, revenue optimization, risk prevention, operation efficiency, network monitoring, AML and many more other areas.
The data scientist will work in analytics project team to identify and develop the analytic solution for business problems, and will work with the team to develop ML toolkits for data scientists across the enterprise.
Work with business and tech to develop end-to-end advanced analytic solution, from problem formulation, data sourcing to develop and deploying the solution into production.
Work with tech to continue improving the enterprise analytic platform, tooling and reusable assets.
Work with analytic community to continue develop advanced analytic capabilities, adoption of best-in-class techniques and practices.

Requirements

Degree with strong focus in machine learning, data mining or statistical/mathematical modellings with deep theoretical knowledge with machine learning and statistical modelling.
3 to 5+ years relevant working experience.
Fluent in Python and Pyspark.
Familiar with analytics and machine learning platforms and how it integrates with upstream and downstream data and production systems.
Experience of end-to-end data science project covering problem formulation, developing training pipeline and deploying solution to production.

Apply Now
We offer a competitive salary and benefits package and the professional advantages of a dynamic environment that supports your development and recognises your achievements.",,Senior Management,Permanent,"Banking and Finance, Information Technology",Islandwide
,Senior Data Scientist,"Roles & Responsibilities

You're someone who wants to see the impact of your work making a difference every day. You understand how to use data to make decisions and how to train others to do so. You find passion in the craft and are constantly seeking improvement and better ways to solve tough problems. You produce the highest quality machine learning solutions and lead others to do the same. You have delivered challenging technical solutions at scale. You are equally happy talking about deep learning and statistical inference, as you are brainstorming about practical experimental design and technology career development. You love being in the mix technically while providing leadership to your teams.

As a Senior Data Scientist on the team, you will:

Build highly scalable and performant recommendation systems and technologies that can identify best matches between millions of jobs and millions of job seekers in real-time
Experiment with POC ML model improvements, scale them to production, and run iterative AB experiments to improve our matching technology
Represent Indeed at major ML conferences like NeurIPS, ICML, and ICLR
Break down larger ML initiatives into pieces that deliver incremental business value and execute them.

We are looking for someone who is passionate about designing and building machine learning systems, loves intellectual challenges, is eager to learn, and wants to work with a variety of technologies to “help people get jobs”.

Requirements:

3+ years of industry experience as a Software Engineer, Data Scientist, or Machine Learning Engineer
Prior success deploying (impactful) ML solutions to large-scale production systems
Solid knowledge of data structures and algorithms
Strong sense of ownership
Excellent communication skills in English, both written and verbal with both technical and business audiences

We get excited about candidates who:

Have an advanced degree (PhD or MS) or prior research experience in the fields of machine learning, statistics, or computer science
Have the desire to solve difficult problems at the intersection of machine learning, data engineering, and software engineering
Have experience and knowledge with cloud technologies (AWS preferred)
Have prior success deploying Recommender Systems / Search Ranking / etc. to large-scale production systems
Have designed and analyzed A/B tests.
",,Executive,Permanent,"Engineering, Information Technology","Mapletree Anson Road, 60 Anson Road 079914"
,"Avp, Senior Data Scientist / Data Scientist, Consumer Banking Group (Wd31394)","Roles & ResponsibilitiesBusiness Function
As the leading bank in Asia, DBS Consumer Banking Group is in a unique position to help our customers realise their dreams and ambitions. As a market leader in the consumer banking business, DBS has a full spectrum of products and services, including deposits, investments, insurance, mortgages, credit cards and personal loans, to help our customers realise their dreams and aspirations at every life stage. Our financial solutions are not only the best in the business – they were made just right for you.
Responsibilities

Drive product business strategy by providing recommendation through data analytics, lead cognitive and automated banking initiatives through AI/ML models development and automation of control towers/alerts.
Utilizing Data Driven Operation Model (DDOM) to maximize value from data and drive business management and shared KPI with products partners.
Identify opportunities and develop strategies to drive retail customers engagement for financial planning opportunities.

Requirements

PhD or master’s in computer science, mathematics, statistics, business analytics, or related field.
Ideally with 3+ years of data science/analysis project experience in industry (banking, finance, ecommerce, telecoms, retail, fintech or technology firms, etc) and/or academia with demonstrated track record of innovative research and insight generation and implementation of insights into tools/processes delivering front end business results.
Good modelling background including but not limited to classification, clustering, recommender systems, deep learning, reinforcement learning, natural language processing et al.
Programming experience in some of Python, PySpark, SAS, SQL, etc.
Excellent problem-solving skills and strategic thinker. Ability to communicate complex analysis/models across a diverse team. Good interpersonal skill and able to influence the decision making of data science and IT.
Eager to learn and get hands dirty with new technology and business knowledge.

Apply Now
We offer a competitive salary and benefits package and the professional advantages of a dynamic environment that supports your development and recognises your achievements.",,Senior Management,Permanent,"Banking and Finance, Information Technology",Islandwide
,"Vp, Senior Data Scientist / Data Scientist, Consumer Banking Group (Wd31394)","Roles & ResponsibilitiesBusiness Function
As the leading bank in Asia, DBS Consumer Banking Group is in a unique position to help our customers realise their dreams and ambitions. As a market leader in the consumer banking business, DBS has a full spectrum of products and services, including deposits, investments, insurance, mortgages, credit cards and personal loans, to help our customers realise their dreams and aspirations at every life stage. Our financial solutions are not only the best in the business – they were made just right for you.
Responsibilities

Drive product business strategy by providing recommendation through data analytics, lead cognitive and automated banking initiatives through AI/ML models development and automation of control towers/alerts.
Utilizing Data Driven Operation Model (DDOM) to maximize value from data and drive business management and shared KPI with products partners.
Identify opportunities and develop strategies to drive retail customers engagement for financial planning opportunities.

Requirements

PhD or master’s in computer science, mathematics, statistics, business analytics, or related field.
Ideally with 3+ years of data science/analysis project experience in industry (banking, finance, ecommerce, telecoms, retail, fintech or technology firms, etc) and/or academia with demonstrated track record of innovative research and insight generation and implementation of insights into tools/processes delivering front end business results.
Good modelling background including but not limited to classification, clustering, recommender systems, deep learning, reinforcement learning, natural language processing et al.
Programming experience in some of Python, PySpark, SAS, SQL, etc.
Excellent problem-solving skills and strategic thinker. Ability to communicate complex analysis/models across a diverse team. Good interpersonal skill and able to influence the decision making of data science and IT.
Eager to learn and get hands dirty with new technology and business knowledge.

Apply Now
We offer a competitive salary and benefits package and the professional advantages of a dynamic environment that supports your development and recognises your achievements.",,Senior Management,Permanent,"Banking and Finance, Information Technology",Islandwide
,"Associate, Data Scientist, Analytics Centre Of Excellence, Group Transformation (Wd31203)","Roles & ResponsibilitiesBusiness Function
Here at the DBS Transformation Group, we focus on nurturing the culture of the “World’s Best Digital Bank” (Euromoney, 2016 & 2018) and Best Bank in the World (Euromoney 2019). Our approach is a combination of both science and art; we immerse our stakeholders in the world of design thinking and experimentation, drive rigorous creativity along our pipeline, and build connections between corporate entrepreneurs and start-ups. We are a cross-disciplinary team focused on the invention of solutions that will radically improve the way people live, work and play. We are passionate and committed to make banking joyful (while having lots of fun)!
Job Purpose
Deliver data science analysis to support business decisions for various business and support units of the bank. Develop advanced machine learning components to be included in innovative applications by creating prototypes. Develop solutions based on advanced analytics, leveraging internal data sources and external data assets.
Responsibilities

Build machine learning solutions to solve various business questions.


Perform ad-hoc exploratory statistics and data mining tasks on diverse datasets from small scale to big data.
Select features, build and optimize classifiers using machine learning techniques.
Perform data wrangling and feature engineering.
Data mining using state-of-the-art methods.
Extend company’s data with third party sources of information when needed.
Enhance data collection procedures to include information that is relevant for building analytic systems.
Process, cleanse, and verify the integrity of data used for analysis.
Carry out ad-hoc analysis and present results in a clear manner.


Maintain cutting edge in data science.


Take initiative in evaluating new approaches from data science research.
Test new tools, platforms and packages.
Support the programs for changing the business culture towards more data driven decision making.
Create helper functions to automate frequently encountered wrangling and feature engineering tasks.

Requirements

Masters or Bachelor Degree in Computer Science, Statistics, Applied Mathematics, Operations Research, or related majors.
3 years of industry experience in data science/machine learning projects working in a big data environment.
Industry experience in NLP, search, recommendation systems, time series modelling is a plus.
Excellent understanding of machine learning techniques and algorithms, such as k-NN, Naive Bayes, SVM, Decision Forests, Random Forests, XgBoost etc.
Familiar with sklearn.
Highly proficient with data wrangling and feature engineering.
Familiar with programming tools such as Spark, Python and SQL.
Great communication and presentation skills.
Data-oriented personalityand able to multi-task.

Apply Now
We offer a competitive salary and benefits package and the professional advantages of a dynamic environment that supports your development and recognises your achievements.",,Executive,Permanent,"Banking and Finance, Information Technology",Islandwide
,"Senior Associate, Data Scientist, Analytics Centre Of Excellence, Group Transformation (Wd31203)","Roles & ResponsibilitiesBusiness Function
Here at the DBS Transformation Group, we focus on nurturing the culture of the “World’s Best Digital Bank” (Euromoney, 2016 & 2018) and Best Bank in the World (Euromoney 2019). Our approach is a combination of both science and art; we immerse our stakeholders in the world of design thinking and experimentation, drive rigorous creativity along our pipeline, and build connections between corporate entrepreneurs and start-ups. We are a cross-disciplinary team focused on the invention of solutions that will radically improve the way people live, work and play. We are passionate and committed to make banking joyful (while having lots of fun)!
Job Purpose
Deliver data science analysis to support business decisions for various business and support units of the bank. Develop advanced machine learning components to be included in innovative applications by creating prototypes. Develop solutions based on advanced analytics, leveraging internal data sources and external data assets.
Responsibilities

Build machine learning solutions to solve various business questions.


Perform ad-hoc exploratory statistics and data mining tasks on diverse datasets from small scale to big data.
Select features, build and optimize classifiers using machine learning techniques.
Perform data wrangling and feature engineering.
Data mining using state-of-the-art methods.
Extend company’s data with third party sources of information when needed.
Enhance data collection procedures to include information that is relevant for building analytic systems.
Process, cleanse, and verify the integrity of data used for analysis.
Carry out ad-hoc analysis and present results in a clear manner.



Maintain cutting edge in data science.


Take initiative in evaluating new approaches from data science research.
Test new tools, platforms and packages.
Support the programs for changing the business culture towards more data driven decision making.
Create helper functions to automate frequently encountered wrangling and feature engineering tasks.


Requirements

Masters or Bachelor Degree in Computer Science, Statistics, Applied Mathematics, Operations Research, or related majors.
3 years of industry experience in data science/machine learning projects working in a big data environment.
Industry experience in NLP, search, recommendation systems, time series modelling is a plus.
Excellent understanding of machine learning techniques and algorithms, such as k-NN, Naive Bayes, SVM, Decision Forests, Random Forests, XgBoost etc.
Familiar with sklearn.
Highly proficient with data wrangling and feature engineering.
Familiar with programming tools such as Spark, Python and SQL.
Great communication and presentation skills.
Data-oriented personalityand able to multi-task.

Apply Now
We offer a competitive salary and benefits package and the professional advantages of a dynamic environment that supports your development and recognises your achievements.",,Senior Executive,Permanent,"Banking and Finance, Information Technology",Islandwide
,Data Scientist,"Roles & ResponsibilitiesJob Description:-

1, Involved in building cutting edge algorithms and working with state-of-art data science and machine learning tools such as Spark, Tensor Flow and mastery in analytic languages like SQL, Python, etc.
2, Data Scientists with strong proficiency with statistical modeling, data mining, machine learning, artificial intelligence and working with large scale datasets, distributed Big Data Platforms for a variety of advanced analytics solutions across the Bank, ranging from recommendation engines, Propensity models, customer segmentation, Graph models, anomaly detection, NLP, and more.
3, Exploratory data analysis to understand customer struggles in the digital journey and create
actionable insights through journey analytics
4, Deep-dive analysis using advanced statistical methods to understand the primary drivers behind
customer struggles
5, Apply machine learning techniques to do customer segmentation, intelligent targeting and
predictive servicing
6, Able to understand and solve the business problem by translating into a data model and building
insights into an actionable outcome
7, Analyse experiment results and identify opportunities for improving experiment uplift; propose
new experiment iterations based on the insights from the data
8, Support full lifecycle of experimentation (A/B testing) through journey analytics and machine
learning driven insights
9, Collaborate with cross-functional business teams to deliver high-impact insights using analytics
across a variety of customer servicing areas
10, Create visualization/dashboards for key metrics/insights
11, Verification/UAT of technology solution to ensure functional requirements are met

o A good understanding of data analysis and machine learning, NLP concepts
o Excellent hands-on experience in Python, Pyspark, Spark SQL/mysql; Hadoop eco-system (Hive, HDFS, Pig etc.); End to end data science workflow, starting from data extraction, wrangling, modelling and deployment in production environment
o Familiarity with Linux based operating system
o Knowledge of software development life cycle preferred
o Experience creating real time and rich data visualizations that involves large datasets
o Experience manipulating structured and unstructured data sources for analysis",,Professional,Contract,Information Technology,Islandwide
,Data Scientist,"Roles & ResponsibilitiesActivate Interactive Pte Ltd (“Activate”) is a leading IT solution and service provider headquartered in Singapore with a presence in Malaysia and Indonesia. Our clients are empowered with quality, cost-effective, and impactful end-to-end application development, like mobile and web applications, and cloud technology that remove technology roadblocks and increase their business efficiency.
We believe in positively impacting the lives of people around us and the environment we live in through the use of technology. Hence, we are committed to providing a conducive environment for all employees to realise their full potential, who in turn have the opportunity to continuously drive innovation.
We are searching for our next team members to join our growing team.
If you love the idea of being part of a growing company with exciting prospects in mobile and web technologies that create positive impact on people’s lives, then we would love to hear from you.
What will you do?

Perform data science research and development in line with organization's vision within digital health and wellness domain
Organized and wrangle dataset on a regular basis
Collaborate with data engineers and platform architects to implement robust production real-time and decisioning solutions
Perform statistical analysis, machine learning and predictive modeling by leveraging multimodal data
Refining prediction model for demo, prototyping that leads to eventual productization
Take ownership and follow through the transfer of algorithm and prediction model to product and engineering team
Documentation of research, experiments, modelling and methodology
Providing reports and presentations on results and findings
Identify opportunities and risks for the business through data science and analytics

What are we looking for?

2 to 5 years in data research, data science or analytics
Bachelor or Master Degree in Statistic, Biomedical Engineering, Electrical & Electronics Engineering, Computer Science, computer engineering or related discipline.
Passionate about data science and good working knowledge of Python, R, SQL and C/C++
Good understanding or experiences in analog signal and noise processing is required
Experiences in deploying prediction models to final products will be considered favorably
Keen interest in digital healthcare, wellness and fitness domain
A 'go with the flow' and positive attitude, adaptable to change and energetic
Have the ability to problem-solve and can be very resourceful
Passionate in learning and working with new technologies
A natural tenacity, resilience and determination

What do we offer?

Fun working environment
Flexi benefits that cover medical, gym, sports and wellness
Employee Wellness Program
",,Professional,Permanent,Information Technology,"SINGAPORE POST CENTRE, 10 EUNOS ROAD 8 408600"
,Applied Data Scientist,"Roles & ResponsibilitiesWe are working with multiple clients across fintech/banks/digital companies to build a data science team in Singapore.

You will have the opportunity to do your best work while unlocking vast business opportunity by extracting key insights using a wide range of advanced statistical models and machine learning and translating results into goal-oriented business actions.

Each day, you will be presented with a variety of new challenges and interesting projects that tap your interests and strengths.
Data scientists team participates in the full life cycle of model development, which spans from business problem discovery to model deployment and monitoring.

Apply if you meet below criteria
Ability to code in Python
Hands-on experience in building and deploying Machine Learning models.
Experience/exposure to deployment

Interview process
Python Coding test
Interview with hiring team.",,Middle Management,Permanent,"Advertising / Media, Banking and Finance","MARINA SQUARE, 6 RAFFLES BOULEVARD 039594"
,Data Engineer ,"Roles & ResponsibilitiesAt Cheil, we are passionate about ideas that move.
We believe that the right idea will move seamlessly across channels: from online to offline, above the line to below the line, in-store to out-of-home. It will move brands, move products and most importantly, move people. The right idea will move everything forward.
Established in 1973 with headquarters in Seoul, South Korea, Cheil Worldwide is one of the world’s leading integrated marketing communications networks, with more than 6,200 employees globally in more than 50 offices in 44 countries.
For more information, visit us at: www.cheil.com.
We are inviting candidates for the position of:

Lead Data Engineer
Job description
Working with Samsung Electronics SEA & Oceania, and you will take on some of the most exciting big data challenges. This includes taking ownership and responsibility for the build, development and maintains of decision support platform.
As Lead Data Engineer you will have a proven track record of building data pipelines for big data transfers between platforms such as AWS and Google Cloud Platform. You will take responsibility for the production and delivery of in house and 3rdparty data technology platforms, providing real-time data to our clients.
Successful candidates will possess advanced programming technical expertise, strong collaborative and execution capabilities, excellent communication skills, a practical and flexible mindset, and high attention to detail and work quality.

Responsibilities of the role

1. Create and maintain optimal data pipeline architecture
- Create, maintain and extend existing infrastructure built on AWS/Google Cloud
- ETL tasks involve the batch processing of data
- Assemble data sets from varied data sources per functional business requirements
- Streamline data pipelines to drive efficiency
- Build/review infrastructure and tools per function business and performance requirements
2. Analytics & Visualization
- Address data requests of stake holders for campaign, sales, consumer insight, …
- Collaborate with data scientist and analysts on data extraction, utilization and analysis
- Retrieve and aggregate Facebook/Google Ads data
- Build reporting on data visualization tools for dashboards
- Integrate and evolve data automation and reporting tools with infrastructure for data delivery

Desired Skills and Experience

6+ years hands-on experience in the big data platform (AWS/GCP) development.
· Advanced experience with Linux/Unix: Shell, AWK, etc. command line utilities
· Experience in deploying Machine learning models and a good understanding of EC2 and virtual machine
· Experience with cloud services, primarily: AWS (EC2, S3, EMR, …), GCP (GCS, BigQuery, …)
· Experience with Facebook and Google Ads APIs / SDKs
· Process automation and pipeline optimization of data: extraction, transformation, validation, …
· Self-starter, capable of experimenting with various tools and developing own code and scripts for data manipulation, experimentation, algorithm implementation, accuracy measurements, etc.
· Passion for data analysis and delivering data solutions for data driven decisions
· Good written and spoken English is a must
Nice to haves:

Knowledge       of Python Libraries and machine learning models using Python
Experience       of successful application of data mining, and statistical analysis with       demonstrable impact and proven tracks record
Experience with big data       tools: Hadoop, Spark, Kafka, etc.
Working       knowledge of message queues, stream processing, scalable ‘big data’ data stores
",,Senior Executive,Permanent,"Advertising / Media, Information Technology, Marketing / Public Relations","MAPLETREE BUSINESS CITY, 30 PASIR PANJANG ROAD 117440"
,Machine Learning Engineer,"Roles & ResponsibilitiesWe are seeking an experienced and competent Machine Learning Engineer who will work closely with data scientists and backend engineers to design, develop and implement ML models leveraging different data sources. This role reports to the Senior Data Scientist.

Major Responsibilities
· Design, develop and implement complex data-centric solutions, including large data set verification, transformation, and feature generation
· Ensure continuous high-quality input for ML model development
· Design and implementation of model delivery systems
· Design efficient data collection and ETL processes for the ML models
· Develop effective strategies on deployment and hosting of ML models
· Manage and monitor deployed models
· Ability to deploy fast or real-time inferencing a plus
· Work with the RightShip product and customer teams to provide efficient data cuts to generate:
1. Business understanding
2. Data understanding
3. Data preparation
4. Modelling and evaluation
5. Visualisation
· Collaborate with internal and external subject matter experts to select the relevant sources of information for the business
· Incorporate relevant data related algorithms in the products to solve business problems and improve them over time

Qualifications, Skills & Attributes
· Relevant qualifications in Computer Science, Engineering, Statistics or related curriculum
· At least 5 years of relevant experience as a machine learning practitioner.
· Strong skills with machine learning libraries and packages including scripting, programming, modelling, and designing.
· Knowledge and experience of typical data preparation techniques used in the context of machine learning and statistical analysis
· Experience in designing and developing distributed ML pipelines on cloud, such as Microsoft Azure and Databricks will be an advantage
· Prior experience in maritime industry will be a strong advantage
· Strong knowledge of programming languages widely used in statistics / computation such as R and Python.
· Proficiency in SQL and knowledge of database and data warehouse design
· Familiarity with machine learning frameworks like TensorFlow or PyTorch
· Prior experience using PowerBI and/or Tableau an advantage
· Understanding of Agile philosophy and prior experience working in an Agile environment
· Excellent numeracy, written and verbal communication skills
· Proficient with Microsoft Office Suite of software, in particular MS Excel
· Strong time management skills with the ability to reconcile multiple conflicting deadlines
· Ability to develop, build and maintain effective working relationships with key stakeholders
· Flexibility to undertake a range of complex tasks and work hours necessary to meet business objectives",,Professional,Permanent,Others,"PLUS, 20 Cecil Street 049705"
